Gene			mutation freqency in human	# of mutation in dog
USP12	2	109	0.018348624	0
USP11	3	109	0.027522936	0
USP15	2	109	0.018348624	0
RGS22_ENST00000360863	2	109	0.018348624	0
INPP1	1	109	0.009174312	0
CABIN1	5	109	0.04587156	0
RAPGEF6_ENST00000509018	2	109	0.018348624	0
PDE4A_ENST00000440014	1	109	0.009174312	0
SPECC1_ENST00000261503	2	109	0.018348624	0
CRKL	2	109	0.018348624	0
JPH1	1	109	0.009174312	0
OPRM1_ENST00000360422	1	109	0.009174312	0
TYK2	1	109	0.009174312	0
KIR3DX1	2	109	0.018348624	0
TMEM87B	1	109	0.009174312	0
MCM2_ENST00000265056	1	109	0.009174312	0
ARHGEF10	2	109	0.018348624	0
STRN3_ENST00000357479	1	109	0.009174312	0
SLITRK5	1	109	0.009174312	0
SLITRK2	1	109	0.009174312	0
SLITRK3	3	109	0.027522936	0
ARHGEF17	2	109	0.018348624	0
ARHGEF18	2	109	0.018348624	0
ARHGEF19	2	109	0.018348624	0
SF3A3	1	109	0.009174312	0
PIK3C2B	2	109	0.018348624	0
BIRC5_ENST00000374948	1	109	0.009174312	0
SGK3	1	109	0.009174312	0
SH3TC2_ENST00000394358	2	109	0.018348624	0
PLEC_ENST00000354958	1	109	0.009174312	0
GEN1_ENST00000381254	1	109	0.009174312	0
CEP70	1	109	0.009174312	0
ZNF776	2	109	0.018348624	0
KLC1	2	109	0.018348624	0
KLC2	2	109	0.018348624	0
WISP2_ENST00000372868	1	109	0.009174312	0
KLC4	2	109	0.018348624	0
FBXW12	1	109	0.009174312	0
CEP97_ENST00000327230	1	109	0.009174312	0
FBXW10	2	109	0.018348624	0
L1CAM	1	109	0.009174312	0
C14orf43	3	109	0.027522936	0
C14orf49	1	109	0.009174312	0
REPS2_ENST00000357277	1	109	0.009174312	0
ASPSCR1_ENST00000306729	1	109	0.009174312	0
MST1	1	109	0.009174312	0
ZNF519	1	109	0.009174312	0
CRSP3	3	109	0.027522936	0
ARAP1_ENST00000393609	3	109	0.027522936	0
ECE2_ENST00000357474	1	109	0.009174312	0
ZNF513	2	109	0.018348624	0
GDF15	1	109	0.009174312	0
ZNF516	1	109	0.009174312	0
ZNF514	1	109	0.009174312	0
TMTC2	2	109	0.018348624	0
SMG5	1	109	0.009174312	0
C1orf164	1	109	0.009174312	0
SMG6	1	109	0.009174312	0
POGZ_ENST00000491586	2	109	0.018348624	0
HGS	1	109	0.009174312	0
SLC39A4	1	109	0.009174312	0
SLC39A5	2	109	0.018348624	0
GZMB	1	109	0.009174312	0
GZMM	1	109	0.009174312	0
MTHFD1L	1	109	0.009174312	0
ZNF26	1	109	0.009174312	0
KIAA1377	3	109	0.027522936	0
VWF	1	109	0.009174312	0
C20orf7	1	109	0.009174312	0
TRIM63_ENST00000374272	2	109	0.018348624	0
C20orf4	2	109	0.018348624	0
MYH11	1	109	0.009174312	0
SGPL1_ENST00000373202	1	109	0.009174312	0
KIAA0355	2	109	0.018348624	0
RET	3	141	0.021276596	0
PBRM1_ENST00000296302	4	109	0.036697248	0
LRRC15_ENST00000439944	1	109	0.009174312	0
OXER1	1	109	0.009174312	0
OR6K3	2	109	0.018348624	0
PPEF2	3	109	0.027522936	0
SCAF1	2	109	0.018348624	0
SCAF8	1	109	0.009174312	0
TMEM63A	1	109	0.009174312	0
KIAA1598	1	109	0.009174312	0
NTN4	2	109	0.018348624	0
ZMYND15	2	109	0.018348624	0
CDC42BPA_ENST00000334218	3	109	0.027522936	0
B4GALNT3	1	109	0.009174312	0
RASAL2_ENST00000462775	1	109	0.009174312	0
AP1S2	1	109	0.009174312	0
BCL9L	1	109	0.009174312	0
KAZN	2	109	0.018348624	0
C20orf112	1	109	0.009174312	0
PDE1A	1	109	0.009174312	0
NUDC	2	109	0.018348624	0
DYM	1	109	0.009174312	0
PELO	2	109	0.018348624	0
PGP	1	109	0.009174312	0
IL6R_ENST00000368485	1	109	0.009174312	0
IVNS1ABP	1	109	0.009174312	0
NUMBL	1	109	0.009174312	0
SEPSECS	1	109	0.009174312	0
NRP2	1	109	0.009174312	0
C12orf63	1	109	0.009174312	0
CA9	1	109	0.009174312	0
HEXA	2	109	0.018348624	0
HEXB	1	109	0.009174312	0
FUT6	1	109	0.009174312	0
OGN	1	109	0.009174312	0
PNMT	1	109	0.009174312	0
FUT1	3	109	0.027522936	0
GSTA4	1	109	0.009174312	0
GSTA2	1	109	0.009174312	0
GSTA3	1	109	0.009174312	0
VTCN1	1	109	0.009174312	0
FBLN1	1	109	0.009174312	0
SON	5	109	0.04587156	0
FBLN7	2	109	0.018348624	0
DDX60_ENST00000393743	3	109	0.027522936	0
DDX39A	2	109	0.018348624	0
DYNLT3	1	109	0.009174312	0
C1orf85	1	109	0.009174312	0
FES_ENST00000328850	1	109	0.009174312	0
PLXND1	1	109	0.009174312	0
EWSR1_ENST00000414183	2	109	0.018348624	0
STRA8	1	109	0.009174312	0
CGNL1	1	109	0.009174312	0
PEX11G	1	109	0.009174312	0
SIGLEC11	1	109	0.009174312	0
C10orf125	1	109	0.009174312	0
COL25A1_ENST00000399126	3	109	0.027522936	0
SYNPO2	1	109	0.009174312	0
HCRTR1	1	109	0.009174312	0
ACTB	8	109	0.073394495	0
HCRTR2	2	109	0.018348624	0
C5orf5	1	109	0.009174312	0
DMRT1	2	109	0.018348624	0
GHRHR	1	109	0.009174312	0
STARD13	1	109	0.009174312	0
EWSR1_ENST00000333395	1	109	0.009174312	0
PROS1	1	109	0.009174312	0
AMAC1L2	1	109	0.009174312	0
FAM123A_ENST00000515384	1	109	0.009174312	0
FBXO7_ENST00000382058	3	109	0.027522936	0
CRADD	1	109	0.009174312	0
MST1R_ENST00000296474	1	109	0.009174312	0
ADAR	1	109	0.009174312	0
MPO_ENST00000340482	3	109	0.027522936	0
TNKS2	2	109	0.018348624	0
ZNF184	1	109	0.009174312	0
ZNF180	1	109	0.009174312	0
PFKP_ENST00000381075	2	109	0.018348624	0
TIFA	1	109	0.009174312	0
ACACB_ENST00000543201	2	109	0.018348624	0
GLTPD1	1	109	0.009174312	0
WBP2NL	1	109	0.009174312	0
SEMA5B	4	109	0.036697248	0
SEMA5A	2	109	0.018348624	0
SH3TC2	3	109	0.027522936	0
SH3TC1	2	109	0.018348624	0
LYNX1	1	109	0.009174312	0
ASB10_ENST00000377867	1	109	0.009174312	0
OR1J4	1	109	0.009174312	0
ZNF236	3	109	0.027522936	0
ZNF232	1	109	0.009174312	0
RNF113B	1	109	0.009174312	0
RNF113A	4	109	0.036697248	0
SMC1B_ENST00000357450	4	109	0.036697248	0
ADAMTS6_ENST00000381055	3	109	0.027522936	0
ENSG00000132356	4	109	0.036697248	0
PVRL1_ENST00000340882	1	109	0.009174312	0
ST7	1	109	0.009174312	0
AGAP1	1	109	0.009174312	0
GXYLT1	2	109	0.018348624	0
DTNA_ENST00000444659	2	109	0.018348624	0
TMEM2	1	109	0.009174312	0
ABCC9_ENST00000261201	2	109	0.018348624	0
MXRA5_ENST00000381114	3	109	0.027522936	0
ARNT	1	109	0.009174312	0
SLC23A1	1	109	0.009174312	0
TRAM2	1	109	0.009174312	0
RANBP3	2	109	0.018348624	0
SLAMF9	1	109	0.009174312	0
SLAMF7	2	109	0.018348624	0
ANO7_ENST00000402430	1	109	0.009174312	0
TGFB2	1	109	0.009174312	0
PUS1	1	109	0.009174312	0
DLGAP4_ENST00000340491	1	109	0.009174312	0
C17orf91	1	109	0.009174312	0
TCF12_ENST00000438423	1	109	0.009174312	0
TMEM132D	1	109	0.009174312	0
F13A1	1	109	0.009174312	0
ENSG00000268310	1	109	0.009174312	0
DTNA_ENST00000399121	2	109	0.018348624	0
LPHN2	2	109	0.018348624	0
NOP56	1	109	0.009174312	0
ZNF780A_ENST00000455521	1	109	0.009174312	0
FCRL2	1	109	0.009174312	0
FCRL3	1	109	0.009174312	0
YWHAG	1	109	0.009174312	0
CHRM3	1	109	0.009174312	0
CHRM1	1	109	0.009174312	0
MGAT2	1	109	0.009174312	0
MGAT3	2	109	0.018348624	0
SLC20A1	2	109	0.018348624	0
CHST15	1	109	0.009174312	0
CHST14	1	109	0.009174312	0
MMP8	1	109	0.009174312	0
MMP7	1	109	0.009174312	0
SLFN5	1	109	0.009174312	0
MMP2	2	109	0.018348624	0
GNPTAB	2	109	0.018348624	0
GRIA2_ENST00000264426	1	109	0.009174312	0
CAPRIN2	1	109	0.009174312	0
NAIF1	1	109	0.009174312	0
CCNT1	1	109	0.009174312	0
ERI2_ENST00000357967	1	109	0.009174312	0
BMPR1A_ENST00000224764	3	109	0.027522936	0
CBFA2T3	1	109	0.009174312	0
CBFA2T2	2	109	0.018348624	0
IRF2BP2	1	109	0.009174312	0
C15orf55_ENST00000333756	2	109	0.018348624	0
C9orf82	1	109	0.009174312	0
VRK3	1	109	0.009174312	0
LRRC6	2	109	0.018348624	0
LRRC1	1	109	0.009174312	0
LRRC2	1	109	0.009174312	0
TNIP2	2	109	0.018348624	0
NT5C	1	109	0.009174312	0
USP31	2	109	0.018348624	0
USP33	2	109	0.018348624	0
USP36	5	109	0.04587156	0
USP37	4	109	0.036697248	0
MORN1	1	109	0.009174312	0
PLD1	1	109	0.009174312	0
PLD2	1	109	0.009174312	0
PPFIBP2	1	109	0.009174312	0
RUNX2	1	109	0.009174312	0
RUNX1	1	123	0.008130081	0
UBE2CBP	1	109	0.009174312	0
AXL_ENST00000301178	2	109	0.018348624	0
ALS2_ENST00000467448	1	109	0.009174312	0
CIT_ENST00000261833	3	109	0.027522936	0
DOCK3	1	109	0.009174312	0
MAU2	2	109	0.018348624	0
SLC9A4	1	109	0.009174312	0
SLC9A5	1	109	0.009174312	0
SLC9A6	1	109	0.009174312	0
HSPH1	2	109	0.018348624	0
SLC9A3	1	109	0.009174312	0
LIM2	1	109	0.009174312	0
PRDM1_ENST00000369096	2	109	0.018348624	0
PLEKHB2	1	109	0.009174312	0
SCRN1	1	109	0.009174312	0
NR4A1_ENST00000360284	1	109	0.009174312	0
UCK2	1	109	0.009174312	0
NF2_ENST00000403999	1	109	0.009174312	0
CUX1_ENST00000292538	1	109	0.009174312	0
SEC13	1	109	0.009174312	0
TP53I3	1	109	0.009174312	0
SLAMF6	1	109	0.009174312	0
GIMAP5	1	109	0.009174312	0
GIMAP1	2	109	0.018348624	0
SCUBE2	2	109	0.018348624	0
SCUBE1	3	109	0.027522936	0
CUX1	1	109	0.009174312	0
PHKB_ENST00000323584	2	109	0.018348624	0
RHBDF2	2	109	0.018348624	0
LHX6_ENST00000394319	1	109	0.009174312	0
ZNF750	1	109	0.009174312	0
MYOM2	2	109	0.018348624	0
OR52W1	1	109	0.009174312	0
LAX1	1	109	0.009174312	0
MOB3C	1	109	0.009174312	0
FBXO2	1	109	0.009174312	0
FBXO3	1	109	0.009174312	0
TBX6	1	109	0.009174312	0
TBX4	2	109	0.018348624	0
FBXO7	3	109	0.027522936	0
BCORL1	2	109	0.018348624	0
SH3YL1_ENST00000356150	1	109	0.009174312	0
TMEM38A	1	109	0.009174312	0
ZNF536	3	109	0.027522936	0
ZNF532	2	109	0.018348624	0
C18orf26	1	109	0.009174312	0
FGFR1OP_ENST00000366847	1	109	0.009174312	0
SPHK2	1	109	0.009174312	0
QSER1	1	109	0.009174312	0
C1orf9	1	109	0.009174312	0
NT5DC3	1	109	0.009174312	0
NT5DC1	1	109	0.009174312	0
LCE2B	1	109	0.009174312	0
RUSC2	1	109	0.009174312	0
RUSC1	1	109	0.009174312	0
PARP3_ENST00000398755	1	109	0.009174312	0
PPIA	1	109	0.009174312	0
ERN2_ENST00000256797	1	109	0.009174312	0
ERCC1_ENST00000300853	1	109	0.009174312	0
MOXD1	3	109	0.027522936	0
MID1	2	109	0.018348624	0
WASF2	1	109	0.009174312	0
TTC32	1	109	0.009174312	0
FAH	2	109	0.018348624	0
HNRNPA2B1	1	109	0.009174312	0
ATP2B3_ENST00000263519	1	109	0.009174312	0
AMY2B	1	109	0.009174312	0
TNS1_ENST00000446903	2	109	0.018348624	0
PRMT5_ENST00000397441	1	109	0.009174312	0
KRAS_ENST00000256078	10	112	0.089285714	0
C7orf42	1	109	0.009174312	0
PURA	1	109	0.009174312	0
OAF	1	109	0.009174312	0
PIBF1	1	109	0.009174312	0
MAN2B2	1	109	0.009174312	0
LEPR_ENST00000344610	1	109	0.009174312	0
ADAD2	1	109	0.009174312	0
FSTL4	1	109	0.009174312	0
FSTL5	1	109	0.009174312	0
KIRREL2_ENST00000262625	2	109	0.018348624	0
FLII	3	109	0.027522936	0
LRRC37A	1	109	0.009174312	0
COG8	1	109	0.009174312	0
COG1	2	109	0.018348624	0
CHTOP	1	109	0.009174312	0
COG6	1	109	0.009174312	0
COG4	1	109	0.009174312	0
GPSM1_ENST00000392945	1	109	0.009174312	0
C12orf48	1	109	0.009174312	0
C12orf40	2	109	0.018348624	0
GPR25	2	109	0.018348624	0
KCNMB1	2	109	0.018348624	0
CSPG4	1	109	0.009174312	0
HK3_ENST00000292432	1	109	0.009174312	0
MBNL1_ENST00000324196	1	109	0.009174312	0
GSK3A	1	109	0.009174312	0
CXorf23_ENST00000379687	1	109	0.009174312	0
UBB	1	109	0.009174312	0
CFTR	1	109	0.009174312	0
ANKRD53	1	109	0.009174312	0
ANKRD50	3	109	0.027522936	0
KCTD18	2	109	0.018348624	0
KIAA0825_ENST00000312498	1	109	0.009174312	0
SPECC1L	1	109	0.009174312	0
NPRL2	1	109	0.009174312	0
PLXNB2	6	109	0.055045872	0
KBTBD6	2	109	0.018348624	0
KBTBD4	5	109	0.04587156	0
SP100_ENST00000340126	1	109	0.009174312	0
ZBTB4	1	109	0.009174312	0
ZFAND2B_ENST00000444522	1	109	0.009174312	0
GUCY1A2	1	109	0.009174312	0
PCBP2	2	109	0.018348624	0
PCBP1	1	109	0.009174312	0
RNF220	1	109	0.009174312	0
MYST1	2	109	0.018348624	0
MYST3	1	109	0.009174312	0
AMT	1	109	0.009174312	0
LZTS1	1	109	0.009174312	0
SIRT3	1	109	0.009174312	0
SIRT6	1	109	0.009174312	0
SIRT5	1	109	0.009174312	0
RASSF8_ENST00000541490	1	109	0.009174312	0
OTOA_ENST00000388957	1	109	0.009174312	0
SEZ6L2	2	109	0.018348624	0
HIF3A_ENST00000377670	2	109	0.018348624	0
FSD1	1	109	0.009174312	0
SYNGAP1	2	109	0.018348624	0
RBM25	1	109	0.009174312	0
RBM28	3	109	0.027522936	0
EPHA8	3	109	0.027522936	0
UPP2_ENST00000409859	1	109	0.009174312	0
EPHA4	1	109	0.009174312	0
EPHA3	2	109	0.018348624	0
EPHA2	1	109	0.009174312	0
POM121_ENST00000395270	1	109	0.009174312	0
JAK3_ENST00000458235	1	109	0.009174312	0
ZMYND11_ENST00000397962	1	109	0.009174312	0
MITF_ENST00000314589	4	109	0.036697248	0
KDM6B	1	109	0.009174312	0
P4HA1_ENST00000412021	1	109	0.009174312	0
SRP68	1	109	0.009174312	0
SYNPO_ENST00000394243	1	109	0.009174312	0
MNAT1	1	109	0.009174312	0
NSMAF_ENST00000427130	2	109	0.018348624	0
SEMA3F	1	109	0.009174312	0
ARHGAP11A	1	109	0.009174312	0
BCHE	1	109	0.009174312	0
ZNF259	1	109	0.009174312	0
C1QC	2	109	0.018348624	0
FARP1_ENST00000376586	2	109	0.018348624	0
ADAM22_ENST00000265727	2	109	0.018348624	0
TSR1	1	109	0.009174312	0
TMEM183A	1	109	0.009174312	0
KCNJ10	2	109	0.018348624	0
TFAM	1	109	0.009174312	0
KCNJ15	1	109	0.009174312	0
MCF2_ENST00000370578	1	109	0.009174312	0
MCF2_ENST00000370573	2	109	0.018348624	0
NAGK	2	109	0.018348624	0
DAZAP1	2	109	0.018348624	0
CYP4A11	1	109	0.009174312	0
C1QTNF2	1	109	0.009174312	0
RTN3_ENST00000341307	1	109	0.009174312	0
FOLH1B	2	109	0.018348624	0
PTPN5_ENST00000358540	1	109	0.009174312	0
CREB3L2	2	109	0.018348624	0
KCNT2	3	109	0.027522936	0
PGAP1	1	109	0.009174312	0
C17orf70	1	109	0.009174312	0
AGPHD1	1	109	0.009174312	0
PPAPDC2	1	109	0.009174312	0
MFAP5	1	109	0.009174312	0
OR2L8	1	109	0.009174312	0
SLC6A5	2	109	0.018348624	0
RERGL	1	109	0.009174312	0
GEMIN8	1	109	0.009174312	0
IWS1	1	109	0.009174312	0
RPS6KL1	1	109	0.009174312	0
TPCN1	2	109	0.018348624	0
C19orf51	1	109	0.009174312	0
HNRPDL	2	109	0.018348624	0
LECT1	1	109	0.009174312	0
TAS2R9	1	109	0.009174312	0
SNAP29	1	109	0.009174312	0
C11orf49	1	109	0.009174312	0
TOX2	1	109	0.009174312	0
PRR14	1	109	0.009174312	0
PRR19	2	109	0.018348624	0
C11orf47	2	109	0.018348624	0
TNFSF11	1	109	0.009174312	0
TNFSF10	1	109	0.009174312	0
DIRAS3	2	109	0.018348624	0
HUWE1_ENST00000342160	5	109	0.04587156	0
PUM1	1	109	0.009174312	0
RAD1	1	109	0.009174312	0
SFXN1	1	109	0.009174312	0
CRYBA2	1	109	0.009174312	0
UTP23_ENST00000357148	1	109	0.009174312	0
CCT3	1	109	0.009174312	0
EGFR_ENST00000344576	1	109	0.009174312	0
VWA9_ENST00000567744	3	109	0.027522936	0
OPCML	4	109	0.036697248	0
BRIP1_ENST00000259008	1	109	0.009174312	0
FBLN1_ENST00000262722	1	109	0.009174312	0
NRP2_ENST00000272849	2	109	0.018348624	0
RPS20_ENST00000009589	1	109	0.009174312	0
SSFA2_ENST00000431877	1	109	0.009174312	0
ATAD2B_ENST00000238789	1	109	0.009174312	0
FAM50A	1	109	0.009174312	0
ZC3H3	3	109	0.027522936	0
ZC3H4	1	109	0.009174312	0
MLL3_ENST00000355193	6	109	0.055045872	0
CYP2J2	1	109	0.009174312	0
CIDEA	1	109	0.009174312	0
RNF213_ENST00000411702	4	109	0.036697248	0
SLC4A1	2	109	0.018348624	0
SLC4A3	2	109	0.018348624	0
SLC4A2	2	109	0.018348624	0
DCTN1	1	109	0.009174312	0
SLC4A8	3	109	0.027522936	0
DCTN5	1	109	0.009174312	0
MYF6	1	109	0.009174312	0
ASPM	4	109	0.036697248	0
ASPH	1	109	0.009174312	0
GRIK5_ENST00000301218	3	109	0.027522936	0
CD300E_ENST00000426295	1	109	0.009174312	0
ERC1	3	109	0.027522936	0
OSCP1	1	109	0.009174312	0
FLT1_ENST00000541932	1	109	0.009174312	0
PLCL1	1	109	0.009174312	0
OSBPL9_ENST00000337809	1	109	0.009174312	0
MXRA5	3	109	0.027522936	0
DDX19B_ENST00000288071	1	109	0.009174312	0
OR14A16	1	109	0.009174312	0
ARPM1	1	109	0.009174312	0
RNF26	1	109	0.009174312	0
LSP1	1	109	0.009174312	0
CACNB1_ENST00000394303	1	109	0.009174312	0
LAMA3_ENST00000269217	2	109	0.018348624	0
CAPN10_ENST00000391984	1	109	0.009174312	0
SSTR5	1	109	0.009174312	0
LARP1_ENST00000336314	1	109	0.009174312	0
TOX	1	109	0.009174312	0
IGSF9	2	109	0.018348624	0
IGSF6	1	109	0.009174312	0
IGSF1	2	109	0.018348624	0
IGSF3	2	109	0.018348624	0
ZNF365_ENST00000395255	1	109	0.009174312	0
ANKRD40	1	109	0.009174312	0
TMEM41B	1	109	0.009174312	0
NHS	6	109	0.055045872	0
MAPK10_ENST00000359221	1	109	0.009174312	0
NOS1	1	109	0.009174312	0
NOS3	1	109	0.009174312	0
ITGB4	3	109	0.027522936	0
ITGB7	2	109	0.018348624	0
YARS2	2	109	0.018348624	0
ATN1	1	109	0.009174312	0
IRF2BPL	2	109	0.018348624	0
CLEC12B_ENST00000338896	1	109	0.009174312	0
AMPD2_ENST00000393689	1	109	0.009174312	0
CDK12	2	109	0.018348624	0
PLCH1_ENST00000340059	1	109	0.009174312	0
MAN1B1	1	109	0.009174312	0
GJB7	2	109	0.018348624	0
URGCP	1	109	0.009174312	0
EGF	3	109	0.027522936	0
ZFP112	1	109	0.009174312	0
FGR	1	109	0.009174312	0
SLC12A5	1	109	0.009174312	0
SLC12A4	1	109	0.009174312	0
SLC12A7	2	109	0.018348624	0
KCNK16_ENST00000437525	1	109	0.009174312	0
SLC12A3	3	109	0.027522936	0
RPE65	1	109	0.009174312	0
FGB	1	109	0.009174312	0
IMP3	1	109	0.009174312	0
OSGIN2_ENST00000451899	1	109	0.009174312	0
LY96	1	109	0.009174312	0
MAPK8_ENST00000374176	1	109	0.009174312	0
CDK15_ENST00000374598	1	109	0.009174312	0
FBXW7_ENST00000534231	5	110	0.045454545	0
FAM113A	1	109	0.009174312	0
FAM113B	2	109	0.018348624	0
ATP5S_ENST00000358473	1	109	0.009174312	0
SNX7	1	109	0.009174312	0
SNX6	1	109	0.009174312	0
SNX4	1	109	0.009174312	0
SNX8	1	109	0.009174312	0
SOX6_ENST00000527619	1	109	0.009174312	0
CCDC122	1	109	0.009174312	0
CCDC121	1	109	0.009174312	0
CEL	1	109	0.009174312	0
TIMELESS	1	109	0.009174312	0
LRIG1_ENST00000383703	2	109	0.018348624	0
ITPKA	1	109	0.009174312	0
PDE2A_ENST00000444035	1	109	0.009174312	0
ITPKB	1	109	0.009174312	0
PDE5A	2	109	0.018348624	0
PKM	1	109	0.009174312	0
C12orf26	1	109	0.009174312	0
EPB41L5_ENST00000443124	1	109	0.009174312	0
FUT11_ENST00000394790	1	109	0.009174312	0
URP2	3	109	0.027522936	0
KIF1B_ENST00000377093	1	109	0.009174312	0
PIWIL4	1	109	0.009174312	0
PIWIL1	2	109	0.018348624	0
OSBPL9_ENST00000428468	1	109	0.009174312	0
DOCK8	4	109	0.036697248	0
PGAM2	2	109	0.018348624	0
FABP1	2	109	0.018348624	0
AKR1C4	1	109	0.009174312	0
MESP2	2	109	0.018348624	0
MXD1	1	109	0.009174312	0
SUN1_ENST00000456758	1	109	0.009174312	0
IFI44L_ENST00000370751	1	109	0.009174312	0
KARCA1	1	109	0.009174312	0
COL5A3	4	109	0.036697248	0
COL5A1	3	109	0.027522936	0
NAT10	1	109	0.009174312	0
TAAR5	1	109	0.009174312	0
TAAR6	1	109	0.009174312	0
ANUBL1	2	109	0.018348624	0
FAM55D	1	109	0.009174312	0
FAM55A	1	109	0.009174312	0
ALDH2	1	109	0.009174312	0
FAM55C	1	109	0.009174312	0
UHRF1BP1	2	109	0.018348624	0
SMEK1	1	109	0.009174312	0
NEU4	1	109	0.009174312	0
ITGA7_ENST00000553804	1	109	0.009174312	0
TCF23	1	109	0.009174312	0
PCDHA5_ENST00000529859	3	109	0.027522936	0
SEC31A_ENST00000395310	1	109	0.009174312	0
EPB41L4A_ENST00000359109	1	109	0.009174312	0
CXorf36	1	109	0.009174312	0
OPRL1	1	109	0.009174312	0
FNDC7_ENST00000370017	1	109	0.009174312	0
AKAP9_ENST00000356239	5	109	0.04587156	0
PRR5	1	109	0.009174312	0
MED10	1	109	0.009174312	0
KDM4B	1	109	0.009174312	0
KDM4A	1	109	0.009174312	0
MED16	2	109	0.018348624	0
KDM4D	2	109	0.018348624	0
OPRM1_ENST00000434900	1	109	0.009174312	0
SBF1_ENST00000380817	1	109	0.009174312	0
CASP8_ENST00000358485	3	109	0.027522936	0
ZNF69	1	109	0.009174312	0
SLC9A1	1	109	0.009174312	0
PTPRU_ENST00000460170	3	109	0.027522936	0
BAI2	1	109	0.009174312	0
BAI3	2	109	0.018348624	0
PAPLN_ENST00000427855	1	109	0.009174312	0
PTCH1_ENST00000331920	3	109	0.027522936	0
TGM2	1	109	0.009174312	0
CYP2W1	2	109	0.018348624	0
RAB6A_ENST00000336083	1	109	0.009174312	0
SLC30A1	1	109	0.009174312	0
SNRNP200	2	109	0.018348624	0
EML2	1	109	0.009174312	0
BTN1A1	2	109	0.018348624	0
ZMYND8	2	109	0.018348624	0
PTPRN2_ENST00000404321	1	109	0.009174312	0
NARS2	2	109	0.018348624	0
NUPL1	1	109	0.009174312	0
RNF213_ENST00000319921	1	109	0.009174312	0
CNN2	1	109	0.009174312	0
PAX7_ENST00000420770	2	109	0.018348624	0
ZNF276	2	109	0.018348624	0
ZNF278	1	109	0.009174312	0
KLC1_ENST00000452929	2	109	0.018348624	0
FCAMR	1	109	0.009174312	0
RGS6_ENST00000553525	1	109	0.009174312	0
ITGA10	2	109	0.018348624	0
NOP14	2	109	0.018348624	0
EXOC3L1	1	109	0.009174312	0
POM121	2	109	0.018348624	0
ZMAT1_ENST00000372782	1	109	0.009174312	0
TMEM173	1	109	0.009174312	0
TRPM4	1	109	0.009174312	0
TRPM5	1	109	0.009174312	0
TRPM2	1	109	0.009174312	0
TUBB8	2	109	0.018348624	0
TUBB1	1	109	0.009174312	0
FAN1	1	109	0.009174312	0
HERC5	2	109	0.018348624	0
ASNS_ENST00000394309	1	109	0.009174312	0
PARP3	1	109	0.009174312	0
FNDC9	2	109	0.018348624	0
PEX5L	3	109	0.027522936	0
C11orf66	2	109	0.018348624	0
C17orf53	1	109	0.009174312	0
C17orf57	3	109	0.027522936	0
C17orf56	1	109	0.009174312	0
MIS18A	1	109	0.009174312	0
OLFM2	1	109	0.009174312	0
RHOT1	1	109	0.009174312	0
CCR9	1	109	0.009174312	0
RAF1	1	109	0.009174312	0
RPL13A	2	109	0.018348624	0
TINF2_ENST00000267415	2	109	0.018348624	0
SLC8A1	3	109	0.027522936	0
SLC8A2	3	109	0.027522936	0
EFNA5	2	109	0.018348624	0
EFNA4	1	109	0.009174312	0
EFNA3	1	109	0.009174312	0
EFNA2	1	109	0.009174312	0
NRXN3_ENST00000428277	1	109	0.009174312	0
CCDC22_ENST00000376227	1	109	0.009174312	0
OSBP2	2	109	0.018348624	0
LRP1	4	109	0.036697248	0
LRP4	2	109	0.018348624	0
LRP5	1	109	0.009174312	0
LMO7_ENST00000465261	2	109	0.018348624	0
CLCC1	2	109	0.018348624	0
ANTXR1	1	109	0.009174312	0
RBBP8_ENST00000399725	1	109	0.009174312	0
CCDC74A	1	109	0.009174312	0
OR51S1	1	109	0.009174312	0
MAP2	1	109	0.009174312	0
UGT1A4	1	109	0.009174312	0
C8B	1	109	0.009174312	0
MAP6	2	109	0.018348624	0
TEAD2	1	109	0.009174312	0
TEAD1	1	109	0.009174312	0
ABTB2_ENST00000435224	1	109	0.009174312	0
CATSPERG_ENST00000215069	2	109	0.018348624	0
BRI3	1	109	0.009174312	0
CHIT1	4	109	0.036697248	0
PPL	2	109	0.018348624	0
ERCC2_ENST00000485403	7	109	0.064220183	0
SERPINI2	1	109	0.009174312	0
ESRRA	3	109	0.027522936	0
KMT2D	2	123	0.016260163	0
MLLT4_ENST00000366806	1	109	0.009174312	0
CLEC11A	1	109	0.009174312	0
IL28B	2	109	0.018348624	0
EPHA10	3	109	0.027522936	0
PLEKHG2_ENST00000409794	1	109	0.009174312	0
TIE1	1	109	0.009174312	0
MANEAL_ENST00000373045	2	109	0.018348624	0
ZNF512B	1	109	0.009174312	0
ASB10	1	109	0.009174312	0
GSR	1	109	0.009174312	0
LAT2	1	109	0.009174312	0
AFG3L2	2	109	0.018348624	0
TATDN2	1	109	0.009174312	0
DHRS4L2_ENST00000382755	1	109	0.009174312	0
LCA5L	2	109	0.018348624	0
NSMF	1	109	0.009174312	0
ANKMY2	1	109	0.009174312	0
SENP6_ENST00000370014	1	109	0.009174312	0
FAM19A3	1	109	0.009174312	0
HK2	2	109	0.018348624	0
HK3	1	109	0.009174312	0
CACNA2D2	1	109	0.009174312	0
ATP2B3	1	109	0.009174312	0
ATP2B2	1	109	0.009174312	0
TTLL9_ENST00000375935	1	109	0.009174312	0
FDPS	1	109	0.009174312	0
MTCH1	1	109	0.009174312	0
TBX3	1	109	0.009174312	0
CYP27C1	1	109	0.009174312	0
PABPC1	1	109	0.009174312	0
